Event.Id,Event.Date,Make,Model,Make_Model,Aircraft.Category,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Purpose.of.flight,Aircraft.damage
20001212X22492,1990-01-28,TAYLORCRAFT,BC12D,TAYLORCRAFT BC12D,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Takeoff,Personal,Destroyed
20001212X22480,1990-01-29,CESSNA,208B,CESSNA 208B,Airplane,Fatal(2),2.0,0.0,0.0,0.0,IMC,Takeoff,Unknown,Destroyed
20001212X22619,1990-02-01,PIPER,PA-28-181,PIPER PA-28-181,Airplane,Fatal(1),1.0,0.0,0.0,0.0,VMC,Maneuvering,Personal,Destroyed
20001212X22649,1990-03-16,CESSNA,170B,CESSNA 170B,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Takeoff,Personal,Substantial
20001212X22846,1990-04-09,CESSNA,172,CESSNA 172,Airplane,Fatal(2),2.0,0.0,0.0,7.0,VMC,Cruise,Unknown,Destroyed
20001212X22846,1990-04-09,EMBRAER,EMB-120,EMBRAER EMB-120,Airplane,Fatal(2),2.0,0.0,0.0,7.0,VMC,Cruise,Unknown,Substantial
20001212X22966,1990-04-16,EMBRAER,EMB-110,EMBRAER EMB-110,Airplane,Non-Fatal,0.0,0.0,0.0,8.0,VMC,Taxi,Unknown,Substantial
20001212X22992,1990-04-17,CESSNA,150,CESSNA 150,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Approach,Instructional,Substantial
20001212X22890,1990-04-30,BEECH,C99 AIRLINER,BEECH C99 AIRLINER,Airplane,Fatal(1),1.0,3.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001212X23574,1990-07-05,PIPER,PA-28-180,PIPER PA-28-180,Airplane,Fatal(1),1.0,1.0,0.0,0.0,VMC,Descent,Business,Destroyed
20001212X23773,1990-07-12,PIPER,PA-28-140,PIPER PA-28-140,Airplane,Non-Fatal,0.0,0.0,2.0,0.0,VMC,Descent,Personal,Substantial
20001212X23667,1990-07-27,MCDONNELL DOUGLAS,DC-10-30,MCDONNELL DOUGLAS DC-10-30,Airplane,Non-Fatal,0.0,1.0,3.0,3.0,UNKNOWN,,Unknown,
20001212X24345,1990-09-14,CESSNA,152,CESSNA 152,Airplane,Fatal(2),2.0,0.0,0.0,0.0,IMC,Takeoff,Personal,Destroyed
20001212X24349,1990-09-23,PIPER,PA-24-260,PIPER PA-24-260,Airplane,Fatal(4),4.0,0.0,0.0,0.0,VMC,Takeoff,Personal,Destroyed
20001212X24393,1990-10-06,CESSNA,185B,CESSNA 185B,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Landing,Unknown,Substantial
20001212X24604,1990-11-07,PIPER,PA-23-250,PIPER PA-23-250,Airplane,Non-Fatal,0.0,0.0,0.0,3.0,IMC,Climb,Personal,Substantial
20001212X24613,1990-11-23,BEECH,B55,BEECH B55,Airplane,Fatal(1),1.0,0.0,0.0,0.0,VMC,Maneuvering,Personal,Destroyed
20001212X24824,1990-12-15,BEECH,D50C,BEECH D50C,Airplane,Fatal(1),1.0,0.0,1.0,4.0,VMC,Cruise,Skydiving,Substantial
20001212X24816,1990-12-31,CESSNA,182B,CESSNA 182B,Airplane,Fatal(2),2.0,1.0,1.0,0.0,VMC,Takeoff,Skydiving,Substantial
20001212X16387,1991-01-25,PIPER,PA-34,PIPER PA-34,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,UNKNOWN,Landing,Public Aircraft,Substantial
20001212X16418,1991-02-03,CESSNA,182,CESSNA 182,Airplane,Fatal(7),7.0,0.0,0.0,0.0,VMC,Climb,Skydiving,Destroyed
20001212X16418,1991-02-03,PIPER,PA-28-140,PIPER PA-28-140,Airplane,Fatal(7),7.0,0.0,0.0,0.0,VMC,Approach,Instructional,Destroyed
20001212X16415,1991-02-24,CESSNA,172N,CESSNA 172N,Airplane,Fatal(1),1.0,0.0,0.0,0.0,IMC,Maneuvering,Personal,Destroyed
20001212X16539,1991-03-18,PIPER,PA-28-201T,PIPER PA-28-201T,Airplane,Fatal(2),2.0,0.0,0.0,0.0,IMC,Cruise,Business,Destroyed
20001212X17360,1991-06-06,BOEING,727-214,BOEING 727-214,Airplane,Incident,0.0,0.0,0.0,156.0,VMC,Takeoff,Unknown,Minor
20001212X17597,1991-07-11,CESSNA,182,CESSNA 182,Airplane,Fatal(1),1.0,0.0,0.0,4.0,VMC,Cruise,Skydiving,Substantial
20001212X17738,1991-08-07,BELLANCA,7GCBC,BELLANCA 7GCBC,Airplane,Non-Fatal,0.0,0.0,1.0,1.0,VMC,Maneuvering,Personal,Substantial
20001212X17742,1991-08-09,PIPER,PA-18,PIPER PA-18,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Takeoff,Personal,Substantial
20001212X18014,1991-09-19,PIPER,PA-18-150,PIPER PA-18-150,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Takeoff,Unknown,Substantial
20001212X18289,1991-10-27,BEECH,A36,BEECH A36,Airplane,Fatal(2),2.0,0.0,0.0,0.0,VMC,Maneuvering,Personal,Destroyed
20001212X18454,1991-11-29,CESSNA,120,CESSNA 120,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Landing,Personal,Substantial
20001212X18577,1991-12-12,BOEING,B-747-121,BOEING B-747-121,Airplane,Incident,0.0,0.0,0.0,0.0,VMC,,Unknown,Minor
20001212X18531,1991-12-13,PIPER,"PA-31T3, T1040","PIPER PA-31T3, T1040",Airplane,Fatal(1),1.0,0.0,0.0,0.0,IMC,Cruise,Unknown,Destroyed
20001212X18613,1991-12-20,BEECH,58P,BEECH 58P,Airplane,Fatal(2),2.0,0.0,0.0,0.0,IMC,Approach,Business,Destroyed
20001211X14468,1992-04-22,DE HAVILLAND,DHC-6-200,DE HAVILLAND DHC-6-200,Airplane,Fatal(16),16.0,6.0,0.0,0.0,VMC,Takeoff,Skydiving,Destroyed
20170710X10920,1992-09-05,ROBINSON,R22,ROBINSON R22,Helicopter,Fatal(1),1.0,1.0,0.0,0.0,VMC,Unknown,Personal,Destroyed
20001211X15678,1992-09-07,BEECH,C-45H,BEECH C-45H,Airplane,Fatal(12),12.0,0.0,0.0,0.0,VMC,Takeoff,Skydiving,Destroyed
20001211X16223,1992-12-13,CESSNA,T210,CESSNA T210,Airplane,Non-Fatal,0.0,0.0,1.0,0.0,VMC,Approach,Personal,Substantial
20001211X16199,1992-12-29,PIPER,PA-34-200,PIPER PA-34-200,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,,Personal,Substantial
20001211X12054,1993-04-23,PIPER,PA-18-150,PIPER PA-18-150,Airplane,Fatal(2),2.0,0.0,0.0,0.0,VMC,Maneuvering,Business,Destroyed
20001211X13214,1993-08-14,CESSNA,182A,CESSNA 182A,Airplane,Fatal(1),1.0,4.0,0.0,0.0,VMC,Takeoff,Skydiving,Destroyed
20001211X13180,1993-08-18,PIPER,PA-34-220,PIPER PA-34-220,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Cruise,Ferry,Destroyed
20001211X13402,1993-09-04,BEECH,C-45H,BEECH C-45H,Airplane,Fatal(1),1.0,0.0,0.0,10.0,VMC,Cruise,Skydiving,Minor
20001211X13354,1993-09-25,CESSNA,172,CESSNA 172,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Takeoff,Aerial Observation,Substantial
20001211X13771,1993-11-13,PIPER,PA-32R-300,PIPER PA-32R-300,Airplane,Non-Fatal,0.0,1.0,3.0,1.0,VMC,,Personal,Substantial
20001211X13695,1993-11-28,PIPER,PA32R-301,PIPER PA32R-301,Airplane,Fatal(1),1.0,0.0,0.0,0.0,IMC,Approach,Personal,Destroyed
20001211X13814,1993-12-12,PIPER,PA-32,PIPER PA-32,Airplane,Non-Fatal,0.0,0.0,0.0,5.0,VMC,Landing,Unknown,Substantial
20001206X00618,1994-01-02,CESSNA,172N,CESSNA 172N,Airplane,Fatal(5),5.0,0.0,0.0,0.0,VMC,Approach,Instructional,Destroyed
20001206X00742,1994-02-22,BEECH,2000 (STARSHIP),BEECH 2000 (STARSHIP),Airplane,Non-Fatal,0.0,0.0,0.0,6.0,UNKNOWN,,Business,Substantial
20001206X01822,1994-07-16,CESSNA,K172R,CESSNA K172R,Airplane,Fatal(4),4.0,0.0,0.0,0.0,VMC,Takeoff,Skydiving,Destroyed
20001206X02071,1994-08-09,AEROSPATIALE,SA316B,AEROSPATIALE SA316B,Helicopter,Non-Fatal,0.0,0.0,3.0,0.0,VMC,Landing,Positioning,Substantial
20001206X02019,1994-08-25,CESSNA,150,CESSNA 150,Airplane,Non-Fatal,0.0,0.0,1.0,0.0,VMC,Cruise,Personal,Substantial
20001206X01926,1994-08-31,CESSNA,208,CESSNA 208,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Landing,Unknown,Substantial
20001206X02310,1994-09-14,PIPER,PA-28-140,PIPER PA-28-140,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,,Personal,Substantial
20001206X02325,1994-09-20,PIPER,PA32R-301T,PIPER PA32R-301T,Airplane,Non-Fatal,0.0,0.0,0.0,6.0,VMC,,Personal,Substantial
20001206X02234,1994-09-23,AERO COMMANDER,500S,AERO COMMANDER 500S,Airplane,Fatal(2),2.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001206X02607,1994-11-01,BELL,212,BELL 212,Helicopter,Fatal(14),14.0,0.0,0.0,0.0,IMC,,Unknown,Destroyed
20001206X02621,1994-11-18,PIPER,PA-32R-300,PIPER PA-32R-300,Airplane,Non-Fatal,0.0,0.0,0.0,4.0,VMC,,Personal,Substantial
20001206X02737,1994-12-27,PIPER,PA-28-140,PIPER PA-28-140,Airplane,Fatal(2),2.0,0.0,0.0,0.0,VMC,Go-around,Business,Destroyed
20001206X02711,1994-12-29,BOEING,737-400,BOEING 737-400,Airplane,Fatal(54),54.0,21.0,0.0,0.0,IMC,,Unknown,Destroyed
20001207X03199,1995-03-07,BELL,230,BELL 230,Helicopter,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Landing,Positioning,Substantial
20001207X03179,1995-03-11,PIPER,PA-28RT-201,PIPER PA-28RT-201,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Go-around,Personal,Substantial
20001207X03370,1995-04-24,CESSNA,185,CESSNA 185,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Landing,Personal,Substantial
20001207X03360,1995-04-26,CESSNA,550,CESSNA 550,Airplane,Non-Fatal,0.0,0.0,5.0,0.0,VMC,,Personal,Destroyed
20001207X03480,1995-05-06,CESSNA,550,CESSNA 550,Airplane,Non-Fatal,0.0,0.0,0.0,3.0,VMC,Takeoff,Public Aircraft,Substantial
20001207X03526,1995-05-19,BOEING,737-500,BOEING 737-500,Airplane,Incident,0.0,0.0,0.0,288.0,VMC,Taxi,Unknown,Minor
20001207X03526,1995-05-19,BOEING,767-383ER,BOEING 767-383ER,Airplane,Incident,0.0,0.0,0.0,288.0,VMC,Taxi,Unknown,Minor
